"Customer Name","Item Name","Stock Code","# Sold","Category","Supplier","Stock Level","Price","Cost","Profit","Margin","Markup","Discounts","Tax","Total","# Refunded","Total","Balance"
"","KING PALM BANANA GOJI WRAP 4PK ","1008961172","3","KING PALM","GLOBAL DIST","12.00","$6.87","$4.26","$2.61","37.99%","61.27%","$0.00","$0.48","$7.35","0.00","$0.00","$7.35"
"","NEON LIGHTER FLUID","4579474001","8","CIGAR ACC","GLOBAL DIST","16.00","$23.92","$8.32","$15.48","64.72%","187.50%","$0.12","$1.67","$25.47","0.00","$0.00","$25.47"
"","KING PALM HONEY MANGO HEMP WRAPS 2PK ","1008961153","4","KING PALM","GLOBAL DIST","11.00","$7.96","$3.40","$4.49","56.41%","134.12%","$0.07","$0.55","$8.44","0.00","$0.00","$8.44"
"","KING PALM PEACH PINEAPPLE HEMP WRAPS 2PK ","1008961151","5","KING PALM","GLOBAL DIST","10.00","$9.95","$4.25","$5.63","56.58%","134.12%","$0.07","$0.69","$10.57","0.00","$0.00","$10.57"
"","KING PALM PINK LEMONADE HEMP WRAPS 2PK ","1008961152","3","KING PALM","GLOBAL DIST","12.00","$5.97","$2.55","$3.35","56.11%","134.12%","$0.07","$0.41","$6.31","0.00","$0.00","$6.31"
"","KING PALM NATURAL DOG WALKER LEAF CONES 3PK ","1008961237","5","KING PALM","GLOBAL DIST","9.00","$9.95","$5.35","$4.47","44.92%","85.98%","$0.13","$0.69","$10.51","0.00","$0.00","$10.51"
"","RONSONOL LIGHT FUEL","3790099062","1","CIGAR ACC","GLOBAL DIST","23.00","$5.99","$2.29","$3.70","61.77%","161.57%","$0.00","$0.42","$6.41","0.00","$0.00","$6.41"
"","KING PALM CALI CREAM KNG SIZE HEMP CONES 3PK ","1008961359","12","KING PALM","GLOBAL DIST","15.00","$34.68","$18.00","$14.89","42.94%","92.67%","$1.79","$2.28","$35.17","0.00","$0.00","$35.17"
"","GEEK VAPE T200 Z0.15 COIL","7031364582","42","MOD","GLOBAL DIST","53.00","$161.90","$72.60","$88.11","54.42%","123.00%","$1.19","$11.26","$171.97","0.00","$0.00","$171.97"
"","KING PALM HONEY BERRY KING SIZE HEMP CONES 3PK","1008961360","18","KING PALM","MIDWEST","35.00","$44.82","$22.72","$20.65","46.07%","97.27%","$1.45","$2.98","$46.35","0.00","$0.00","$46.35"
"","VAPO ITANK 2","4349863051","1","MOD","GLOBAL DIST","3.00","$34.99","$15.53","$19.46","55.62%","125.31%","$0.00","$2.45","$37.44","0.00","$0.00","$37.44"
"","VAPO ARMOUR S KIT","4349863663","1","MOD","GLOBAL DIST","0.00","$89.99","$43.00","$46.99","52.22%","109.28%","$0.00","$6.30","$96.29","0.00","$0.00","$96.29"
"","MARLBORO MENTHOL SILVER BOX","2820000481","5","CIGS MARLBORO MN","HENERY'S","25.00","$43.43","$40.60","$2.83","6.52%","6.97%","$0.00","$3.03","$46.46","0.00","$0.00","$46.46"
"","ZIPPO LIGHTER FLUID","4168930049","11","CIGAR ACC","GLOBAL DIST","6.00","$43.89","$18.37","$24.77","56.44%","138.92%","$0.75","$3.03","$46.17","0.00","$0.00","$46.17"
"","ZIPPO FLUID 12OZ.","4168930122","8","CIGAR ACC","GLOBAL DIST","4.00","$63.92","$26.64","$32.44","50.75%","139.94%","$4.84","$4.13","$63.21","0.00","$0.00","$63.21"
"","VAPO GEN PT60","4349860573","1","MOD","GLOBAL DIST","3.00","$59.99","$30.00","$28.52","47.54%","99.97%","$1.47","$4.10","$62.62","0.00","$0.00","$62.62"
"","ZIG ZAG ULTRA THIN CONES 1 1/4 SIZE 6PK","0866000018","13","ZIG ZAG","HENERY'S","30.00","$29.77","$16.25","$11.20","37.62%","83.20%","$2.32","$1.92","$29.37","0.00","$0.00","$29.37"
"","ZIG ZAG UNBLEACHED CONES KING SIZE 3PK ","0866000776","5","ZIG ZAG","GLOBAL DIST","17.00","$10.45","$5.65","$4.80","45.93%","84.96%","$0.00","$0.74","$11.19","0.00","$0.00","$11.19"
"","ZIG ZAG UNBLEACHED CONES 1 1/4 SIZE 6PK ","0866000769","4","ZIG ZAG","","20.00","$8.36","$4.52","$3.84","45.93%","84.96%","$0.00","$0.59","$8.95","0.00","$0.00","$8.95"
"","ZIG ZAG SUPERIEUREUNBLEACHED ULTRA THIN 1 1/4 ROLLING PAPER ","0866000740","5","ZIG ZAG","","19.00","$9.95","$5.20","$4.75","47.74%","91.35%","$0.00","$0.70","$10.65","0.00","$0.00","$10.65"
"","ZIG ZAG ORGANIC HEMP ROLLING PAPER ","0866000738","3","ZIG ZAG","GLOBAL DIST","21.00","$5.97","$3.12","$2.85","47.74%","91.35%","$0.00","$0.42","$6.39","0.00","$0.00","$6.39"
"","OOZE ELECTRO BAREL ATOMIZER","4021242158","1","MOD","GLOBAL DIST","19.00","$9.99","$3.80","$6.19","61.96%","162.89%","$0.00","$0.70","$10.69","0.00","$0.00","$10.69"
"","ZIG ZAG 70MM CIG ROLLER","8476299019","3","ZIG ZAG","GLOBAL DIST","7.00","$11.97","$6.30","$5.67","47.37%","90.00%","$0.00","$0.84","$12.81","0.00","$0.00","$12.81"
"","ZIG ZAG 78MM CIG ROLLER","8476299020","11","ZIG ZAG","GRANITE CITY","9.00","$43.89","$23.61","$19.06","43.43%","85.90%","$1.22","$2.99","$45.66","0.00","$0.00","$45.66"
"","AMERICAN SPIRIT LIGHT GREEN","4799585505","53","CIGS AMERICAN SPIRIT ORG","HENERY'S","26.00","$503.63","$470.35","$26.65","5.29%","7.08%","$6.63","$34.82","$531.82","0.00","$0.00","$531.82"
"","AMERICAN SPIRIT LIGHT BLUE","4799585508","45","CIGS AMERICAN SPIRIT","HENERY'S","24.00","$413.21","$386.01","$23.20","5.61%","7.05%","$4.00","$28.64","$437.85","0.00","$0.00","$437.85"
"","AMERICAN SPIRIT YELLOW ","4799585509","41","CIGS AMERICAN SPIRIT","HENERY'S","19.00","$371.48","$343.16","$28.18","7.59%","8.25%","$0.14","$26.03","$397.37","0.00","$0.00","$397.37"
"","RAW SLOW BURNING CLASSIC PAPERS KING SLIZE SLIM","1616528029","1","RAW","GLOBAL DIST","23.00","$2.59","$1.21","$1.38","53.28%","114.05%","$0.00","$0.18","$2.77","0.00","$0.00","$2.77"
"","OOZE FLARE","0212415816","2","MOD","MY SMOKE","2.00","$159.98","$78.00","$79.98","49.99%","105.10%","$2.00","$11.06","$169.04","0.00","$0.00","$169.04"
"","RAW ORGANIC HEMP 1 1/4 SIZE","1616517417","7","RAW","GLOBAL DIST","15.00","$10.43","$4.41","$6.02","57.72%","136.51%","$0.00","$0.71","$11.14","0.00","$0.00","$11.14"
"","CAMEL CRUSH MENTHOL SILVER","1230000094","418","CIGS CAMEL CRUSH","HENERY'S","27.00","$3306.62","$3104.47","$143.16","4.33%","6.51%","$58.99","$227.36","$3474.99","0.00","$0.00","$3474.99"
"","CAMEL CRUSH  MENTHOL BOX","1230000093","19","CIGS CAMEL CRUSH","HENERY'S","31.00","$153.78","$144.36","$6.61","4.30%","6.53%","$2.81","$10.55","$161.52","0.00","$0.00","$161.52"
"","RAW 300'S CLASSIC ROLLS SLOW BURNING PAPERS 1 1/4 SIZE","1616517733","5","RAW","GLOBAL DIST","14.00","$19.95","$11.65","$8.30","41.60%","71.24%","$0.00","$1.40","$25.34","1.00","$4.27","$21.07"
"","CAMEL CRUSH BLUE","1230019741","31","CIGS CAMEL CRUSH","HENERY'S","29.00","$231.38","$215.10","$14.28","6.17%","7.57%","$2.00","$16.05","$245.43","0.00","$0.00","$245.43"
"","CAMEL LIGHT BLUE BOX","1230000007","208","CIGS CAMEL","HENERY'S","90.00","$1774.07","$1655.52","$117.34","6.61%","7.16%","$1.21","$124.10","$1896.96","0.00","$0.00","$1896.96"
"","CAMEL BLUE 99 BOX","1230020060","31","CIGS CAMEL","HENERY'S","39.00","$248.35","$234.47","$13.88","5.59%","5.92%","$0.00","$17.38","$265.73","0.00","$0.00","$265.73"
"","RAW ORGANIC HEMP BLACK SLOW BURNING PAPERS 1 1/4 SIZE","1616529148","4","RAW","GLOBAL DIST","20.00","$7.96","$4.60","$3.36","42.21%","73.04%","$0.00","$0.56","$8.52","0.00","$0.00","$8.52"
"","CAMEL FILTERS BOX","1230000003","69","CIGS CAMEL","HENERY'S","30.00","$525.04","$490.21","$32.33","6.16%","7.11%","$2.50","$36.59","$559.13","0.00","$0.00","$559.13"
"","OOZE FUSION","5749300746","1","MOD","GLOBAL DIST","2.00","$44.99","$20.00","$24.99","55.55%","124.95%","$0.00","$3.15","$48.14","0.00","$0.00","$48.14"
"","OOZE FUSION ATOMIZER","7493007494","2","MOD","GLOBAL DIST","1.00","$49.98","$24.00","$25.98","51.98%","108.25%","$0.00","$3.50","$53.48","0.00","$0.00","$53.48"
"","RAW CLASIC NATURAL UNREFINED ROLLING  PAPER 1 1/4 SIZE","1616517731","8","RAW","GLOBAL DIST","15.00","$13.52","$6.16","$6.95","51.41%","119.48%","$0.41","$0.93","$14.04","0.00","$0.00","$14.04"
"","OOZE SLIM TWIST PRO","0859032141","2","MOD","GLOBAL DIST","3.00","$69.98","$28.00","$41.98","59.99%","149.93%","$0.00","$4.90","$74.88","0.00","$0.00","$74.88"
"","RAW BOARDING PASS NATURAL WAY TO ROLL ","1616517366","7","RAW","GLOBAL DIST","42.00","$6.93","$2.38","$4.55","65.66%","191.18%","$0.00","$0.49","$7.42","0.00","$0.00","$7.42"
"","OOZE GUSHER","5238400631","1","MOD","","4.00","$29.99","$14.00","$15.99","53.32%","114.21%","$0.00","$2.10","$32.09","0.00","$0.00","$32.09"
"","PALL MALL BLUE","2720000854","30","CIGS PALL MALL","HENERY'S","20.00","$238.50","$224.20","$12.83","5.38%","6.38%","$1.47","$16.59","$253.62","0.00","$0.00","$253.62"
"","KP ULTRA THIN ROLLING PAPER WITH GELATO CREAM FLAVOR TIP","1008961408","2","KING PALM","GLOBAL DIST","21.00","$8.98","$4.26","$4.72","52.56%","110.80%","$0.00","$0.62","$9.60","0.00","$0.00","$9.60"
"","PALL MALL WHITE","2720034731","31","CIGS PALL MALL","HENERY'S","38.00","$245.41","$230.21","$11.80","4.81%","6.60%","$3.40","$16.92","$258.93","0.00","$0.00","$258.93"
"","PALL MALL GREEN 100","2720000865","2","CIGS PALL MALL","HENERY'S","18.00","$15.98","$14.94","$1.04","6.51%","6.96%","$0.00","$1.12","$17.10","0.00","$0.00","$17.10"
"","PALL MALL WHITE 100","2720034734","2","CIGS PALL MALL","HENERY'S","18.00","$15.98","$14.94","$1.04","6.51%","6.96%","$0.00","$1.12","$17.10","0.00","$0.00","$17.10"
"","KP ULTRA THIN ROLLING PAPER WITH GREEN APPLE FLAVOR TIP","1008961407","1","KING PALM","GLOBAL DIST","23.00","$4.49","$2.13","$2.28","50.78%","110.80%","$0.08","$0.31","$4.72","0.00","$0.00","$4.72"
"","PALL MALL RED 100","2720000867","1","CIGS PALL MALL","HENERY'S","19.00","$8.17","$7.64","$0.53","6.49%","6.94%","$0.00","$0.57","$8.74","0.00","$0.00","$8.74"
"","KP STRAWBERRY HEMP ROLLING PAPER 1 1/4 ","1008961167","9","KING PALM","GLOBAL DIST","38.00","$17.91","$7.47","$9.95","55.56%","139.76%","$0.49","$1.23","$18.65","0.00","$0.00","$18.65"
"","NEWPORT BOX 100","2610000573","341","CIGS NEW PORT","HENERY'S","39.00","$3067.09","$2853.46","$163.05","5.32%","7.49%","$50.58","$211.16","$3227.67","0.00","$0.00","$3227.67"
"","NEWPORT BOX","2610000575","43","CIGS NEW PORT","HENERY'S","15.00","$384.14","$357.56","$25.22","6.57%","7.43%","$1.36","$26.78","$409.56","0.00","$0.00","$409.56"
"","KP RED APPLE HEMP ROLLING PAPER 1 1/4 ","1008961170","4","KING PALM","GLOBAL DIST","46.00","$7.96","$3.32","$3.59","45.10%","139.76%","$1.05","$0.49","$7.40","0.00","$0.00","$7.40"
"","KP BANANA HEMP ROLLING PAPER 1 1/4 ","1008961169","9","KING PALM","GLOBAL DIST","40.00","$17.91","$7.47","$10.44","58.29%","139.76%","$0.00","$1.26","$19.17","0.00","$0.00","$19.17"
"","KING PALM ORANGE  HEMP ROLLING PAPER 1 1/4 ","1008961168","4","KING PALM","GLOBAL DIST","46.00","$7.96","$3.32","$4.64","58.29%","139.76%","$0.00","$0.56","$8.52","0.00","$0.00","$8.52"
"","KOOL BLUE KINGS BOX","9050000086","12","CIGS KOOL","HENERY'S","18.00","$93.57","$88.05","$2.65","2.83%","6.27%","$2.87","$6.35","$97.05","0.00","$0.00","$97.05"
"","RANDY'S WIRED ROLLING PAPER ROOTS ","4865820001","3","KING PALM","GLOBAL DIST","-3.00","$7.47","$3.60","$1.87","25.03%","107.50%","$2.00","$0.37","$5.84","0.00","$0.00","$5.84"
"","RANDY'S HEMP WIRED ROLLING PAPER KING ROOTS ","5073900500","1","KING PALM","GLOBAL DIST","24.00","$2.49","$1.44","$1.05","42.17%","72.92%","$0.00","$0.17","$2.66","0.00","$0.00","$2.66"
"","KOOL GREEN BOX KING","9050000071","90","CIGS KOOL","HENERY'S","33.00","$721.63","$680.82","$24.44","3.39%","5.99%","$16.37","$49.46","$754.72","0.00","$0.00","$754.72"
"","ZIG ZAG KING CIG PAPER","0866000007","23","ZIG ZAG","CORE MARK","21.00","$68.77","$41.35","$26.05","37.88%","66.31%","$1.37","$4.73","$72.13","0.00","$0.00","$72.13"
"","VAPO XROS","4349868954","2","MOD","GLOBAL DIST","2.00","$63.98","$31.90","$32.08","50.14%","100.56%","$0.00","$4.48","$68.46","0.00","$0.00","$68.46"
"","WINSTON RED BOX","9050000057","1","CIGS WINSTON","HENERY'S","19.00","$7.19","$6.61","$0.58","8.07%","8.77%","$0.00","$0.50","$7.69","0.00","$0.00","$7.69"
"","ZIG ZAG SUPERIEURE QUALITY CIG PAPER","0866000001","10","ZIG ZAG","","12.00","$29.90","$18.80","$9.77","32.68%","59.04%","$1.33","$2.01","$30.58","0.00","$0.00","$30.58"
"","WINSTON GOLD BOX","9050000059","14","CIGS WINSTON","HENERY'S","16.00","$102.03","$95.88","$6.15","6.03%","6.41%","$0.00","$7.14","$109.17","0.00","$0.00","$109.17"
"","VAPO XROS MINI","4349869174","5","MOD","GLOBAL DIST","5.00","$139.95","$70.00","$68.53","48.97%","99.93%","$1.42","$9.70","$148.23","0.00","$0.00","$148.23"
"","ZIG ZAG SUPERIEURE KUTCORNER SLOW BURNING CIG PAPER","0866000004","4","ZIG ZAG","","19.00","$11.96","$7.52","$2.44","20.40%","59.04%","$2.00","$0.70","$10.66","0.00","$0.00","$10.66"
"","CROWN RED BOX","9060039160","704","CIGS CROWNS","HENERY'S","80.00","$2494.00","$2294.24","$165.40","6.63%","8.71%","$34.36","$172.22","$2631.86","0.00","$0.00","$2631.86"
"","ZIG ZAG SUPERIEURE ULTRA THIN SLOW BURNING PAPER","0866000732","4","ZIG ZAG","GLOBAL DIST","20.00","$11.96","$7.52","$4.44","37.12%","59.04%","$0.00","$0.84","$12.80","0.00","$0.00","$12.80"
"","CROWN RED 100","9060039166","260","CIGS CROWNS","HENERY'S","60.00","$926.32","$851.00","$66.26","7.15%","8.85%","$9.06","$64.30","$981.56","0.00","$0.00","$981.56"
"","CROWN GOLD BOX","9060039162","268","CIGS CROWNS","HENERY'S","67.00","$953.62","$875.66","$64.70","6.78%","8.90%","$13.26","$66.04","$1006.40","0.00","$0.00","$1006.40"
"","ZIG ZAG ORANGE THIN SLOW BURNING CIG PAPER 1 1/4","0866000002","13","ZIG ZAG","GLOBAL DIST","57.00","$38.87","$24.44","$14.43","37.12%","59.04%","$0.00","$2.73","$44.59","1.00","$3.20","$41.39"
"","CROWN MENTHOL 100","9060039167","232","CIGS CROWNS","HENERY'S","46.00","$816.22","$752.78","$51.46","6.30%","8.43%","$11.98","$56.30","$860.54","0.00","$0.00","$860.54"
"","RAW PEACEMAKER CLASSIC NATURALLY SLOW BURNING CONES 3PK","1616528730","4","RAW","GLOBAL DIST","11.00","$21.96","$10.48","$11.48","52.28%","109.54%","$0.00","$1.53","$23.49","0.00","$0.00","$23.49"
"","VAPO XROS 1.2 POD 2ML","4349869581","34","MOD","GLOBAL DIST","4.00","$137.90","$63.92","$73.98","53.65%","115.74%","$0.00","$9.66","$147.56","0.00","$0.00","$147.56"
"","CROWN LIGHT GREEN MENTH 100 BOX","9060039170","76","CIGS CROWNS","HENERY'S","14.00","$264.68","$245.20","$15.86","5.99%","7.94%","$3.62","$18.28","$279.34","0.00","$0.00","$279.34"
"","RAW CONE CLASSIC NATURALLY UNREFINED ROLLING PAPERS 20CONES","1616520333","2","RAW","GLOBAL DIST","10.00","$15.98","$7.84","$8.14","50.94%","103.83%","$0.00","$1.12","$17.10","0.00","$0.00","$17.10"
"","SALEM BOX","9050000090","1","CIGS SALEM","HENERY'S","9.00","$9.12","$8.66","$0.46","5.04%","5.31%","$0.00","$0.64","$9.76","0.00","$0.00","$9.76"
"","RAW CONE CLASSIC NATURALLY UNREFINED ROLLING PAPERS 20CONES","1616529140","9","RAW","GLOBAL DIST","3.00","$85.41","$40.50","$41.77","48.91%","110.89%","$3.14","$5.74","$88.01","0.00","$0.00","$88.01"
"","VAPO LUXE Q .6 MESH POD 3ML","4349863487","8","MOD","GLOBAL DIST","32.00","$31.98","$16.00","$15.98","49.97%","99.87%","$0.00","$2.24","$34.22","0.00","$0.00","$34.22"
"","RAW CONE CLASSIC BLACK  NATURALLY UNREFINED ROLLING PAPERS 1 1/4 SIZE 20CONES","1616529731","19","RAW","GLOBAL DIST","23.00","$146.11","$71.27","$74.84","51.22%","105.01%","$0.00","$10.25","$156.36","0.00","$0.00","$156.36"
"","RAW CONE CLASSIC BLACK  NATURALLY SLOW BURNING KING SIZE 20CONES","1616529730","9","RAW","GLOBAL DIST","22.00","$67.41","$31.86","$35.55","52.74%","111.58%","$0.00","$4.69","$72.10","0.00","$0.00","$72.10"
"","VAPO LUXE XR MAX","4349862898","2","MOD","GLOBAL DIST","3.00","$79.98","$40.00","$39.98","49.99%","99.95%","$0.00","$5.60","$85.58","0.00","$0.00","$85.58"
"","RAW CONE ORGANIC HEMP SLOW BURNING 3PK","1616520210","13","RAW","GLOBAL DIST","17.00","$38.87","$17.42","$20.36","52.38%","123.13%","$1.09","$2.66","$40.44","0.00","$0.00","$40.44"
"","RAW CLASSICCONES  SLOW BURNING ROLLING PAPER 6 PK","1616517711","29","RAW","MIDWEST","64.00","$78.01","$32.45","$41.41","53.08%","140.40%","$4.15","$5.21","$79.07","0.00","$0.00","$79.07"
"","RAW CONE CLASSIC KING SIZE 3PK","1616517457","10","RAW","GLOBAL DIST","20.00","$27.90","$12.50","$13.40","48.03%","123.20%","$2.00","$1.85","$27.75","0.00","$0.00","$27.75"
"","RAW CONE CLASSIC SUPERNATURAL SLOW BURNING 1PK","1616520238","3","RAW","GLOBAL DIST","10.00","$14.97","$6.60","$6.37","42.55%","126.82%","$2.00","$0.91","$13.88","0.00","$0.00","$13.88"
"","MARLBORO NXT","2820031772","219","CIGS MARL BLK MN","HENERY'S","31.00","$1569.28","$1439.94","$121.92","7.77%","8.98%","$7.42","$109.31","$1671.17","0.00","$0.00","$1671.17"
"","RAW CONE CLASSIC  SLOW BURNINGSTAGE RAWKET 5PK","1616520248","1","RAW","GLOBAL DIST","13.00","$5.99","$3.19","$2.80","46.74%","87.77%","$0.00","$0.42","$6.41","0.00","$0.00","$6.41"
"","MONTEGO MENTHOL SILVER","1100000007","352","CIGS MONTEGO","HENERY'S","47.00","$1324.00","$1227.59","$71.78","5.42%","7.85%","$24.63","$90.93","$1390.30","0.00","$0.00","$1390.30"
"","MONTEGO MENTHOL SILVER 100","1100000063","855","CIGS MONTEGO","HENERY'S","105.00","$3169.33","$2922.01","$188.23","5.94%","8.46%","$59.09","$217.88","$3328.12","0.00","$0.00","$3328.12"
"","MONTEGO MENTHOL GOLD","1100000005","84","CIGS MONTEGO","HENERY'S","36.00","$318.94","$296.85","$20.70","6.49%","7.44%","$1.39","$22.22","$339.77","0.00","$0.00","$339.77"
"","MONTEGO MENTHOL GOLD 100","1100000061","211","CIGS MONTEGO","HENERY'S","26.00","$794.27","$736.01","$51.33","6.46%","7.92%","$6.93","$54.83","$842.17","0.00","$0.00","$842.17"
"","MONTEGO BLUE BOX","1100000001","929","CIGS MONTEGO","HENERY'S","99.00","$3459.35","$3192.83","$222.31","6.43%","8.35%","$44.21","$238.82","$3653.96","0.00","$0.00","$3653.96"
"","MONTEGO BLUE 100 BOX","1100000003","1046","CIGS MONTEGO","HENERY'S","107.00","$3871.24","$3561.26","$270.55","6.99%","8.70%","$39.43","$267.82","$4099.63","0.00","$0.00","$4099.63"
"","MONTEGO RED BOX","1100000000","1883","CIGS MONTEGO","HENERY'S","118.00","$6968.31","$6417.95","$460.58","6.61%","8.58%","$89.78","$481.24","$7363.36","1.00","$3.84","$7359.52"
"","MONTEGO ORANGE 100","1100000004","364","CIGS MONTEGO","HENERY'S","36.00","$1346.44","$1242.15","$85.90","6.38%","8.40%","$18.39","$92.95","$1421.00","0.00","$0.00","$1421.00"
"","RAW PRE ROLLED CONE TIPS 100PK","1616515749","1","RAW","GLOBAL DIST","10.00","$12.99","$7.09","$5.90","45.42%","83.22%","$0.00","$0.91","$13.90","0.00","$0.00","$13.90"
"","RAW PRE ROLLED WIDE TIPS 21PK","1616528573","2","RAW","GLOBAL DIST","38.00","$3.98","$1.72","$2.26","56.78%","131.40%","$0.00","$0.28","$4.26","0.00","$0.00","$4.26"
"","RAW CONE SOFT TIPS MAESTRO 32PK","1616515546","1","RAW","GLOBAL DIST","22.00","$1.59","$0.67","$0.92","57.86%","137.31%","$0.00","$0.11","$1.70","0.00","$0.00","$1.70"
"","NEON PREMIUM BUTANE","5555300813","69","CIGAR ACC","GLOBAL DIST","36.00","$275.31","$136.56","$136.68","49.65%","101.60%","$2.07","$19.18","$292.42","0.00","$0.00","$292.42"
"","SPECIAL BLUE BUTANE 300ML","1149090410","15","CIGAR ACC","MIDWEST","18.00","$74.85","$36.00","$38.85","51.90%","107.92%","$0.00","$5.25","$80.10","0.00","$0.00","$80.10"
"","RAW CONE TIPS PERFECTO 32PK","1616517991","2","RAW","GLOBAL DIST","22.00","$2.98","$1.26","$1.11","37.25%","136.51%","$0.61","$0.16","$2.53","0.00","$0.00","$2.53"
"","SENECA FULL FLAVOR BOX","8146700351","298","CIGS SENECA","HENERY'S","122.00","$1151.12","$921.26","$226.08","19.64%","24.95%","$3.78","$80.29","$1227.63","0.00","$0.00","$1227.63"
"","SENECA FULL FLAVOR 100 BOX","8146700318","363","CIGS SENECA","HENERY'S","126.00","$1374.07","$1111.37","$259.37","18.88%","23.64%","$3.33","$95.93","$1466.67","0.00","$0.00","$1466.67"
"","SENECA MEDIUM BOX","8146700426","524","CIGS SENECA","HENERY'S","114.00","$2167.16","$1583.96","$583.20","26.91%","36.82%","$0.00","$151.69","$2390.65","20.00","$76.83","$2313.82"
"","SENECA MEDIUM 100","8146700420","181","CIGS SENECA","HENERY'S","113.00","$700.49","$553.07","$135.42","19.33%","26.65%","$12.00","$48.22","$736.71","0.00","$0.00","$736.71"
"","CLIPPER BUTANE 5.99 OZ","9158501095","10","CIGAR ACC","GLOBAL DIST","1.00","$49.90","$24.20","$23.70","47.49%","106.20%","$2.00","$3.36","$51.26","0.00","$0.00","$51.26"
"","RAW PERFORATED GUMMED TIPS 33PK","1616520024","3","RAW","GLOBAL DIST","21.00","$4.47","$1.95","$2.52","56.38%","129.23%","$0.00","$0.30","$6.26","1.00","$1.59","$4.67"
"","RAW PERFORATED WIDE SOFT  TIPS 50PK","1616517755","4","RAW","GLOBAL DIST","45.00","$3.96","$1.32","$2.14","54.04%","200.00%","$0.50","$0.24","$4.69","1.00","$1.06","$3.63"
"","CLIPPER BUTANE WHITE 11 X","9158502167","1","CIGAR ACC","GLOBAL DIST","11.00","$7.99","$4.00","$3.99","49.94%","99.75%","$0.00","$0.56","$8.55","0.00","$0.00","$8.55"
"","SENECA MENTHOL BOX","8146700360","2","CIGS SENECA","HENERY'S","66.00","$7.18","$5.98","$1.20","16.71%","20.07%","$0.00","$0.50","$7.68","0.00","$0.00","$7.68"
"","RAW SLIM HERBAL PRE ROLLED TIPS 21PK","1616529071","2","RAW","GLOBAL DIST","37.00","$3.78","$1.72","$2.06","54.50%","119.77%","$0.00","$0.26","$4.04","0.00","$0.00","$4.04"
"","ZIPPO BUTANE 290 ML WHITE RED","4168914008","11","CIGAR ACC","GRANITE CITY","9.00","$65.89","$31.13","$31.46","47.75%","111.66%","$3.30","$4.39","$66.98","0.00","$0.00","$66.98"
"","RAW PHATTY ROLLER 125MM EXTRA PHAT ROLLING MACHINE","1616528820","1","RAW","GRANITE CITY","5.00","$7.99","$4.17","$2.13","26.66%","91.61%","$1.69","$0.44","$6.74","0.00","$0.00","$6.74"
"","ZIG ZAG 100MM CIG ROLLING MACHINE","8476299023","4","RAW","GLOBAL DIST","6.00","$15.96","$9.00","$6.96","43.61%","77.33%","$0.00","$1.12","$17.08","0.00","$0.00","$17.08"
"","L&M BLUE KING","2820031002","31","CIGS L&M","HENERY'S","49.00","$235.59","$217.80","$17.79","7.55%","8.17%","$0.00","$16.49","$252.08","0.00","$0.00","$252.08"
"","L&M MENTHOL 100","2820031042","6","CIGS L&M","HENERY'S","14.00","$44.44","$41.04","$3.09","6.95%","8.28%","$0.31","$3.09","$47.22","0.00","$0.00","$47.22"
"","L&M RED BOX","2820030982","10","CIGS L&M","HENERY'S","50.00","$72.90","$67.00","$5.90","8.09%","8.81%","$0.00","$5.10","$78.00","0.00","$0.00","$78.00"
"","BEST WHIP 50 CREAM CHARGER","5029600094","1","CIGAR ACC","GLOBAL DIST","10.00","$38.99","$22.50","$16.49","42.29%","73.29%","$0.00","$2.73","$41.72","0.00","$0.00","$41.72"
"","L&M RED BOX 100","2820030992","39","CIGS L&M","HENERY'S","31.00","$306.01","$287.34","$16.72","5.46%","6.50%","$1.95","$21.28","$325.34","0.00","$0.00","$325.34"
"","RAW CLASSIC SINGLE WIDE CUT CORNERSSLOW BURNING ","1616528090","2","RAW","GLOBAL DIST","48.00","$1.98","$0.64","$1.34","67.68%","209.38%","$0.00","$0.14","$2.12","0.00","$0.00","$2.12"
"","RAW KING SIZE SUPREME SLOW BURNING CLLASSIC PAPERS","1616517144","6","RAW","GLOBAL DIST","17.00","$14.34","$7.62","$6.12","42.68%","88.19%","$0.60","$0.98","$14.72","0.00","$0.00","$14.72"
"","RAW CLASSIC BLACK SLOW BURNING PAPERS KING SIZE SLIM 32PK","1616528097","12","RAW","GLOBAL DIST","34.00","$19.08","$10.20","$8.88","46.54%","87.06%","$0.00","$1.32","$20.40","0.00","$0.00","$20.40"
"","RAW CLASSIC BLACK SLOW BURNING PAPERS 1 1/4 SIZE 50PK","1616528096","6","RAW","GLOBAL DIST","16.00","$10.14","$5.52","$4.62","45.56%","83.70%","$0.00","$0.72","$10.86","0.00","$0.00","$10.86"
"","COPENHAGEN WG POUCH","7310000055","234","CHEW COPE W&M","GRANITE CITY","35.00","$1243.56","$1139.87","$101.69","8.18%","9.10%","$2.00","$86.95","$1328.51","0.00","$0.00","$1328.51"
"","SKOAL WINTERGREEN POUCH","7310000319","1","CHEW SKOAL","HENERY'S","5.00","$6.69","$5.74","$0.95","14.20%","16.55%","$0.00","$0.47","$7.16","0.00","$0.00","$7.16"
"","SKOAL WINTERGREEN XTRA LC","7310000170","5","CHEW SKOAL EXTRA","HENERY'S","25.00","$34.45","$29.10","$5.35","15.53%","18.38%","$0.00","$2.41","$36.86","0.00","$0.00","$36.86"
